espvida;fectot;mort5;razdep;e_anosestudo;gini;rdpc;emp;t_ativ;t_des;trabcc;trabpub;trabsc;t_agua;t_dens;t_lixo;t_luz;agua_esgoto;t_sluz;homemtot;mulhertot;pea;pia;pop;popt;investimento;idhm
73,74;1,66;18,05;44,66;9,37;0,45;485,35;3,28;48,57;1,84;14,6;8,23;14,72;91,73;13,95;100;100;10,77;0;1382;1271;1116;2298;2633;2633;1;0,694
76,1;2,25;14,16;51,45;9,86;0,53;562,88;1,52;63,76;3,47;34,75;4,55;14,69;91,32;21,54;95,55;99,18;3,38;0,82;8628;8472;9052;14197;17016;16555;1;0,696
74,63;1,79;16,51;43,78;10,65;0,36;739,1;2,97;71,56;2,22;53,69;1,99;9;93,11;10,11;99,62;100;0,3;0;4699;4624;5720;7994;9311;9297;1;0,725
78,06;2,03;11,33;44,37;8,5;0,47;985,65;2,1;73,21;1,52;38,97;3,94;3,03;88,94;15,19;97,88;100;0,47;0;2497;2407;3069;4191;4869;4860;0;0,741
74,2;2,25;17,25;52,69;10,43;0,54;722,21;2,23;65,93;2,34;38,97;5,96;12,53;88,88;15,57;99,85;99,29;0,39;0,71;3554;3407;3869;5868;6940;6920;1;0,698
73,66;2,66;18,2;41,76;10,51;0,44;673,13;1,31;66,32;3,4;37,02;4,2;8,83;90,86;14,21;96,24;99,5;2,37;0,5;3124;2986;3521;5310;5950;5892;1;0,713
76,61;1,43;13,37;44,29;11,91;0,38;743,13;1,32;69,06;4,2;25,89;6,04;11,13;88,67;7,56;98,18;99,28;1,23;0,72;1279;1145;1465;2121;2420;2420;0;0,745
76,15;1,36;14,08;41,57;10,29;0,34;754,54;1,07;76,59;1,42;32,66;5,39;12,31;58,93;5,08;99,79;99,95;3,35;0,05;2810;2738;3774;4927;5494;5484;1;0,723
77,9;2,05;11,54;43,07;10,04;0,46;630,54;1,96;66,51;2,02;22,62;5,68;9,81;66,68;9,45;98,56;99,96;3,95;0,04;4784;4626;5366;8067;9389;9100;1;0,668
77,93;1,65;11,5;47,1;10,72;0,46;770,49;0,72;71,63;2,56;27,45;1,7;6,73;89,53;11,15;100;99,8;1,3;0,2;1005;1000;1273;1777;2005;1979;0;0,755
73,01;2,09;19,38;47,99;11,77;0,44;636,15;3,47;72,26;3,06;20,97;5,91;21,48;92,97;18,07;100;99,74;1,09;0,26;3231;3149;3967;5490;6361;6361;1;0,699
72,82;1,56;19,73;47,14;10,95;0,47;618,55;3,76;67,56;0,78;23,01;6,93;8,17;69,37;8,4;100;99,61;5,53;0,39;2765;2485;3124;4624;5183;5111;1;0,687
74,53;1,66;16,68;51,08;9,45;0,5;506,94;1,86;64,41;2,6;27,3;9,58;11,97;84,57;10,33;98,67;99,67;2,24;0,33;4340;4283;4790;7437;8599;8525;1;0,688
75,17;2,06;15,62;47,57;7,44;0,44;620,8;0;71,61;0,32;23,4;2,5;14,56;81,12;8,06;100;99,61;0;0,39;1675;1539;1990;2779;3214;3194;1;0,674
78,4;1,62;10,86;42,22;10,55;0,43;952,53;1,66;66,29;1,31;37,62;4,5;7,99;71,49;6,42;100;100;0,79;0;3757;3701;4291;6474;7430;7430;0;0,749
74,61;1,93;16,54;44,15;10,23;0,39;776,69;2,78;75,22;1,17;52,7;4,28;5,39;78,17;11,01;97,8;99,89;0,55;0,11;4866;4734;6189;8228;9564;9522;1;0,708
76,75;1,58;13,18;45,89;10,73;0,45;820,78;2,49;81,95;2,29;22,1;4,36;8,28;78,79;7,21;99,08;99,9;0,66;0,1;2133;2060;3027;3694;4184;4070;0;0,733
74,82;2,13;16,2;49,11;9,48;0,4;609,76;2,04;62,81;4,99;65,45;1,35;9,27;96,64;25,7;98,01;99,5;2,05;0,5;12648;12162;12696;20214;24751;24686;1;0,703
76,17;2;14,04;41,73;11,04;0,45;827,2;4,01;66,33;4,26;49,77;3,98;15,64;97,1;12,42;99,57;99,97;1,92;0,03;30138;31172;34841;52530;60793;60722;0;0,760
77,92;2,01;11,52;43,65;10,88;0,44;814,95;4,22;70,55;1,25;47,74;1,56;11,97;82,27;9,96;99,03;100;0,18;0;3924;3829;4753;6738;7735;7735;0;0,770
77,38;1,49;12,27;38,16;9,56;0,45;1029,14;3,39;70,6;2,32;40,22;5,52;11,91;83,27;4,16;99,89;99,93;0,23;0,07;1747;1755;2225;3152;3492;3483;0;0,764
75,5;1,88;15,09;42,46;12,01;0,36;675,6;1,22;82,57;0,89;20,11;8,37;12,34;79,17;14,43;100;99,92;1,43;0,08;1229;1031;1623;1965;2246;2219;1;0,715
77,08;1,69;12,7;40,08;10,12;0,35;793,09;2,35;66,31;1,37;68,78;2,96;4,3;95,04;10,17;99,56;100;0;0;3680;3732;4293;6474;7384;7384;0;0,742
73,1;1,55;19,2;42,12;8,77;0,44;781,32;3,24;73,34;0,1;34,47;2,33;6,18;90,91;5,42;98,83;100;0,19;0;1661;1639;2113;2882;3284;3279;0;0,733
