idmun,ano,esf
110004,2000,1
110005,2000,1
110008,2000,1
110009,2000,1
110010,2000,1
110011,2000,0
110012,2000,1
110014,2000,1
110015,2000,1
110020,2000,1
110025,2000,1
110028,2000,1
110029,2000,1
110030,2000,1
110033,2000,1
120005,2000,0
120020,2000,1
120030,2000,1
120034,2000,1
120040,2000,1
120045,2000,1
120050,2000,1
120060,2000,1
130002,2000,0
130006,2000,0
130008,2000,0
130010,2000,1
130014,2000,0
130020,2000,1
130030,2000,0
130040,2000,1
130050,2000,1
130060,2000,1
130063,2000,0
130068,2000,0
130070,2000,1
130080,2000,1
130083,2000,1
130090,2000,1
130100,2000,0
130110,2000,1
130115,2000,1
130120,2000,1
130130,2000,1
130140,2000,1
130150,2000,1
130160,2000,1
130165,2000,0
130170,2000,0
130180,2000,0
130185,2000,1
130190,2000,1
130195,2000,0
130200,2000,1
130210,2000,0
130220,2000,1
130230,2000,0
130240,2000,0
130250,2000,1
130255,2000,0
130260,2000,1
130270,2000,0
130280,2000,0
130290,2000,1
130300,2000,1
130310,2000,1
130320,2000,0
130330,2000,1
130340,2000,1
130350,2000,1
130353,2000,1
130356,2000,1
130360,2000,1
130370,2000,0
130380,2000,1
130390,2000,0
130395,2000,0
130400,2000,1
130406,2000,1
130410,2000,0
130420,2000,0
130423,2000,0
130426,2000,0
130430,2000,1
130440,2000,0
140005,2000,1
140010,2000,1
140020,2000,1
140060,2000,0
150010,2000,1
150020,2000,0
150030,2000,0
150040,2000,1
150050,2000,1
150060,2000,1
150070,2000,0
150080,2000,1
150090,2000,1
150100,2000,0
150110,2000,0
150120,2000,1
150130,2000,1
150140,2000,1
150150,2000,1
150157,2000,0
150160,2000,0
150170,2000,1
150175,2000,1
150180,2000,1
150190,2000,0
150200,2000,0
150210,2000,1
150220,2000,1
150230,2000,1
150240,2000,1
150250,2000,0
150260,2000,1
150270,2000,1
150275,2000,0
150277,2000,0
150280,2000,0
150290,2000,1
150293,2000,1
150307,2000,0
150310,2000,0
150320,2000,1
150330,2000,1
150340,2000,1
150350,2000,0
150360,2000,1
150390,2000,1
150400,2000,0
150405,2000,1
150410,2000,0
150420,2000,1
150430,2000,0
150440,2000,0
150450,2000,0
150460,2000,1
150480,2000,1
150490,2000,1
150500,2000,0
150510,2000,1
150520,2000,0
150530,2000,1
150540,2000,0
150543,2000,1
150550,2000,1
150553,2000,1
150560,2000,1
150570,2000,0
150580,2000,0
150600,2000,1
150610,2000,0
150613,2000,1
150616,2000,1
150619,2000,0
150620,2000,0
150630,2000,0
150640,2000,0
150650,2000,1
150658,2000,0
150660,2000,1
150670,2000,1
150680,2000,1
150690,2000,0
150700,2000,1
150710,2000,0
150720,2000,0
150730,2000,1
150740,2000,1
150745,2000,1
150747,2000,0
150750,2000,0
150760,2000,1
150770,2000,0
150790,2000,0
150795,2000,0
150800,2000,0
150808,2000,1
150815,2000,0
150820,2000,1
150840,2000,0
160010,2000,0
160020,2000,0
160027,2000,0
160030,2000,1
160040,2000,0
160050,2000,0
160060,2000,1
160070,2000,0
170035,2000,1
170040,2000,1
170100,2000,1
170110,2000,1
170190,2000,1
170200,2000,1
170210,2000,1
170230,2000,1
170240,2000,1
170255,2000,1
170270,2000,1
170290,2000,1
170300,2000,1
170320,2000,1
170390,2000,1
170550,2000,1
170555,2000,1
170600,2000,1
170610,2000,1
170700,2000,1
170710,2000,1
170720,2000,1
170755,2000,1
170770,2000,1
170830,2000,1
170930,2000,1
170950,2000,1
171050,2000,1
171110,2000,1
171240,2000,1
171250,2000,1
171320,2000,1
171330,2000,1
171360,2000,1
171420,2000,1
171488,2000,1
171500,2000,1
171575,2000,1
171610,2000,1
171620,2000,1
171650,2000,1
171660,2000,1
171665,2000,1
171670,2000,1
171700,2000,0
171750,2000,1
171780,2000,0
171790,2000,1
171800,2000,1
171820,2000,1
171840,2000,1
171875,2000,1
171880,2000,0
171890,2000,0
171900,2000,1
172049,2000,1
172065,2000,1
172080,2000,0
172090,2000,1
172100,2000,1
172110,2000,1
172208,2000,1
172210,2000,1
210010,2000,0
210020,2000,0
210030,2000,0
210040,2000,0
210050,2000,0
210060,2000,0
210070,2000,0
210080,2000,1
210090,2000,0
210095,2000,0
210100,2000,0
210110,2000,0
210130,2000,0
210140,2000,0
210150,2000,0
210160,2000,1
210170,2000,0
210190,2000,0
210200,2000,0
210210,2000,1
210220,2000,0
210230,2000,0
210240,2000,0
210250,2000,0
210260,2000,0
210280,2000,0
210290,2000,0
210300,2000,0
210310,2000,0
210320,2000,0
210330,2000,1
210340,2000,1
210350,2000,0
210370,2000,0
210380,2000,0
210390,2000,0
210400,2000,0
210405,2000,0
210410,2000,0
210420,2000,1
210440,2000,0
210450,2000,0
210460,2000,1
210470,2000,1
210480,2000,1
210490,2000,0
210500,2000,0
210510,2000,1
210520,2000,0
210530,2000,1
210540,2000,1
210550,2000,0
210560,2000,0
210570,2000,0
210580,2000,0
210590,2000,0
210610,2000,0
210630,2000,1
210640,2000,1
210660,2000,0
210670,2000,1
210675,2000,0
210680,2000,0
210690,2000,0
210700,2000,0
210710,2000,0
210720,2000,0
210730,2000,1
210740,2000,1
210750,2000,1
210760,2000,0
210770,2000,0
210780,2000,0
210790,2000,0
210800,2000,0
210810,2000,0
210820,2000,0
210830,2000,1
210840,2000,0
210850,2000,0
210860,2000,0
210870,2000,1
210880,2000,0
210890,2000,0
210900,2000,1
210910,2000,1
210920,2000,1
210930,2000,1
210940,2000,0
210950,2000,0
210960,2000,1
210970,2000,0
210980,2000,1
210990,2000,0
211000,2000,0
211020,2000,1
211040,2000,0
211050,2000,1
211060,2000,0
211070,2000,0
211080,2000,0
211090,2000,1
211110,2000,0
211120,2000,1
211130,2000,1
211160,2000,0
211180,2000,1
211200,2000,0
211210,2000,0
211220,2000,1
211230,2000,1
211240,2000,0
211260,2000,0
211270,2000,1
211280,2000,1
211290,2000,1
211300,2000,1
211400,2000,0
220025,2000,1
220030,2000,1
220040,2000,1
220050,2000,1
220060,2000,1
220090,2000,1
220180,2000,1
220190,2000,1
220210,2000,1
220220,2000,1
220240,2000,1
220260,2000,1
220270,2000,1
220280,2000,1
220290,2000,1
220300,2000,1
220310,2000,1
220320,2000,1
220335,2000,1
220340,2000,1
220342,2000,1
220360,2000,1
220380,2000,1
220390,2000,1
220400,2000,1
220410,2000,1
220420,2000,1
220430,2000,1
220440,2000,1
220450,2000,1
220460,2000,1
220470,2000,1
220480,2000,1
220490,2000,1
220500,2000,1
220510,2000,1
220520,2000,1
220530,2000,0
220550,2000,1
220560,2000,1
220580,2000,1
220620,2000,1
220630,2000,1
220650,2000,1
220660,2000,1
220670,2000,1
220680,2000,1
220700,2000,1
220720,2000,1
220740,2000,1
220760,2000,1
220780,2000,1
220800,2000,1
220820,2000,0
220830,2000,1
220850,2000,1
