idmun,ano,esf
110004,1998,0
110004,1999,1
110004,2000,1
110004,2001,1
110004,2002,1
110004,2003,1
110004,2004,1
110004,2005,1
110004,2006,1
110004,2007,1
110004,2008,1
110004,2009,1
110004,2010,1
110004,2011,1
110004,2012,1
110004,2013,1
110004,2014,1
110004,2015,1
110005,1998,1
110005,1999,1
110005,2000,1
110005,2001,1
110005,2002,1
110005,2003,1
110005,2004,1
110005,2005,1
110005,2006,1
110005,2007,1
110005,2008,1
110005,2009,1
110005,2010,1
110005,2011,1
110005,2012,1
110005,2013,1
110005,2014,1
110005,2015,1
110008,1998,0
110008,1999,0
110008,2000,1
110008,2001,1
110008,2002,1
110008,2003,1
110008,2004,1
110008,2005,1
110008,2006,1
110008,2007,1
110008,2008,1
110008,2009,1
110008,2010,1
110008,2011,1
110008,2012,1
110008,2013,1
110008,2014,1
110008,2015,1
110009,1998,0
110009,1999,1
110009,2000,1
110009,2001,1
110009,2002,1
110009,2003,1
110009,2004,1
110009,2005,1
110009,2006,1
110009,2007,1
110009,2008,1
110009,2009,1
110009,2010,1
110009,2011,1
110009,2012,1
110009,2013,1
110009,2014,1
110009,2015,1
110010,1998,0
110010,1999,1
110010,2000,1
110010,2001,1
110010,2002,1
110010,2003,1
110010,2004,1
110010,2005,1
110010,2006,1
110010,2007,1
110010,2008,1
110010,2009,1
110010,2010,1
110010,2011,1
110010,2012,1
110010,2013,1
110010,2014,1
110010,2015,1
110011,1998,0
110011,1999,0
110011,2000,0
110011,2001,1
110011,2002,1
110011,2003,1
110011,2004,1
110011,2005,1
110011,2006,1
110011,2007,1
110011,2008,1
110011,2009,1
110011,2010,1
110011,2011,1
110011,2012,1
110011,2013,1
110011,2014,1
110011,2015,1
110012,1998,1
110012,1999,1
110012,2000,1
110012,2001,1
110012,2002,1
110012,2003,1
110012,2004,1
110012,2005,1
110012,2006,1
110012,2007,1
110012,2008,1
110012,2009,1
110012,2010,1
110012,2011,1
110012,2012,1
110012,2013,1
110012,2014,1
110012,2015,1
110014,1998,0
110014,1999,0
110014,2000,1
110014,2001,1
110014,2002,0
110014,2003,0
110014,2004,1
110014,2005,1
110014,2006,1
110014,2007,1
110014,2008,1
110014,2009,1
110014,2010,1
110014,2011,1
110014,2012,1
110014,2013,1
110014,2014,1
110014,2015,1
110015,1998,0
110015,1999,1
110015,2000,1
110015,2001,1
110015,2002,1
110015,2003,1
110015,2004,1
110015,2005,1
110015,2006,1
110015,2007,1
110015,2008,1
110015,2009,1
110015,2010,1
110015,2011,1
110015,2012,1
110015,2013,1
110015,2014,1
110015,2015,1
110020,1998,1
110020,1999,1
110020,2000,1
110020,2001,1
110020,2002,1
110020,2003,1
110020,2004,1
110020,2005,1
110020,2006,1
110020,2007,1
110020,2008,1
110020,2009,1
110020,2010,1
110020,2011,1
110020,2012,1
110020,2013,1
110020,2014,1
110020,2015,1
110025,1998,0
110025,1999,1
110025,2000,1
110025,2001,1
110025,2002,1
110025,2003,1
110025,2004,1
110025,2005,1
110025,2006,1
110025,2007,1
110025,2008,1
110025,2009,1
110025,2010,1
110025,2011,1
110025,2012,1
110025,2013,1
110025,2014,1
110025,2015,1
110028,1998,1
110028,1999,1
110028,2000,1
110028,2001,1
110028,2002,1
110028,2003,1
110028,2004,1
110028,2005,1
110028,2006,1
110028,2007,1
110028,2008,1
110028,2009,1
110028,2010,1
110028,2011,1
110028,2012,1
110028,2013,1
110028,2014,1
110028,2015,1
110029,1998,0
110029,1999,1
110029,2000,1
110029,2001,1
110029,2002,1
110029,2003,1
110029,2004,1
110029,2005,1
110029,2006,1
110029,2007,1
110029,2008,1
110029,2009,1
110029,2010,1
110029,2011,1
110029,2012,1
110029,2013,1
110029,2014,1
110029,2015,1
110030,1998,0
110030,1999,1
110030,2000,1
110030,2001,1
110030,2002,1
110030,2003,1
110030,2004,1
110030,2005,1
110030,2006,1
110030,2007,1
110030,2008,1
110030,2009,1
110030,2010,1
110030,2011,1
110030,2012,1
110030,2013,1
110030,2014,1
110030,2015,1
110033,1998,0
110033,1999,1
110033,2000,1
110033,2001,1
110033,2002,1
110033,2003,1
110033,2004,1
110033,2005,1
110033,2006,1
110033,2007,1
110033,2008,1
110033,2009,1
110033,2010,1
110033,2011,1
110033,2012,1
110033,2013,1
110033,2014,1
110033,2015,1
120005,1998,0
120005,1999,0
120005,2000,0
120005,2001,0
120005,2002,0
120005,2003,0
120005,2004,1
120005,2005,1
120005,2006,1
120005,2007,1
120005,2008,1
120005,2009,1
120005,2010,1
120005,2011,1
120005,2012,1
120005,2013,1
120005,2014,1
120005,2015,1
120020,1998,1
120020,1999,1
120020,2000,1
120020,2001,1
120020,2002,1
120020,2003,1
120020,2004,1
120020,2005,1
120020,2006,1
120020,2007,1
120020,2008,1
120020,2009,1
120020,2010,1
120020,2011,1
120020,2012,1
120020,2013,1
120020,2014,1
120020,2015,1
120030,1998,0
120030,1999,1
120030,2000,1
120030,2001,1
120030,2002,1
120030,2003,1
120030,2004,1
120030,2005,1
120030,2006,1
120030,2007,1
120030,2008,1
120030,2009,1
120030,2010,1
120030,2011,1
120030,2012,1
120030,2013,1
120030,2014,1
120030,2015,1
120034,1998,0
120034,1999,1
120034,2000,1
120034,2001,1
120034,2002,1
120034,2003,1
120034,2004,1
120034,2005,1
120034,2006,1
120034,2007,1
