TREAT,AGE,EDUC,BLACK,HISP,MARR,RE74,RE75,RE78,U74,U75,AGESQ,EDUCSQ,NODEGREE,RE74SQ,RE75SQ,U74BLACK,U74HISP,REDIFF
0,40,8,0,0,1,50940.9,55500,53198.2,0,0,1600,64,1,2.59e+09,3.08e+09,0,0,-2301.801
0,54,0,0,1,1,49228.5,44221,20540.4,0,0,2916,0,1,2.42e+09,1.96e+09,0,0,-23680.6
0,47,10,0,0,1,48198,47968.1,55710.3,0,0,2209,100,1,2.32e+09,2.30e+09,0,0,7742.199
0,32,8,0,0,1,47022.4,67137.1,59109.1,0,0,1024,64,1,2.21e+09,4.51e+09,0,0,-8028
0,47,8,0,0,1,44667.4,33837.1,38568.7,0,0,2209,64,1,2.00e+09,1.14e+09,0,0,4731.598
0,32,10,0,0,1,43103.9,39387.1,36943.2,0,0,1024,100,1,1.86e+09,1.55e+09,0,0,-2443.902
0,55,8,0,0,1,43025.5,37972.7,51580,0,0,3025,64,1,1.85e+09,1.44e+09,0,0,13607.3
0,29,10,0,0,1,41144.6,8951.61,31032.3,0,0,841,100,1,1.69e+09,8.01e+07,0,0,22080.69
0,46,11,0,0,1,39185.3,39387.1,35465.4,0,0,2116,121,1,1.54e+09,1.55e+09,0,0,-3921.703
0,48,6,0,1,1,38670,42967.7,36943.2,0,0,2304,36,1,1.50e+09,1.85e+09,0,0,-6024.5
0,48,6,0,1,1,38670,42967.7,36943.2,0,0,2304,36,1,1.50e+09,1.85e+09,0,0,-6024.5
0,49,8,0,0,1,37226.1,14322.6,23643.6,0,0,2401,64,1,1.39e+09,2.05e+08,0,0,9321
0,50,11,0,0,1,36677.5,46548.4,47287.3,0,0,2500,121,1,1.35e+09,2.17e+09,0,0,738.9023
0,55,11,0,0,1,36638.3,37417.7,32177.5,0,0,3025,121,1,1.34e+09,1.40e+09,0,0,-5240.199
0,37,10,0,0,1,36246.4,17545.2,17732.7,0,0,1369,100,1,1.31e+09,3.08e+08,0,0,187.5
0,37,10,0,0,1,36246.4,17545.2,17732.7,0,0,1369,100,1,1.31e+09,3.08e+08,0,0,187.5
0,50,11,0,0,1,36205.3,38563.5,31032.3,0,0,2500,121,1,1.31e+09,1.49e+09,0,0,-7531.199
0,50,11,0,0,1,36205.3,38563.5,31032.3,0,0,2500,121,1,1.31e+09,1.49e+09,0,0,-7531.199
0,42,11,0,0,1,35266.8,44758.1,38420.9,0,0,1764,121,1,1.24e+09,2.00e+09,0,0,-6337.203
0,31,10,0,0,1,35266.8,35806.5,44331.8,0,0,961,100,1,1.24e+09,1.28e+09,0,0,8525.301
0,48,10,0,0,1,35266.8,34911.3,38568.7,0,0,2304,100,1,1.24e+09,1.22e+09,0,0,3657.398
0,49,6,0,0,1,35266.8,33121,26894.6,0,0,2401,36,1,1.24e+09,1.10e+09,0,0,-6226.4
0,51,9,0,0,0,35266.8,32225.8,39898.6,0,0,2601,81,1,1.24e+09,1.04e+09,0,0,7672.801
0,52,10,0,0,1,35266.8,17187.1,39159.8,0,0,2704,100,1,1.24e+09,2.95e+08,0,0,21972.7
